#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
      89  -0.28380671   0.95888150   0.78428006   0.62040693   1.18929660
      90  -0.99122274   0.13220236   0.75777817   0.65251231   2.29810715
      91  -0.52519375  -0.85098267   0.68291318   0.73049957  -2.94279242
      92   0.56257844  -0.82674390   0.68841600   0.72531605  -1.78478837
      93   0.98435009   0.17622398   0.77358276   0.63369530  -0.50917172
      94   0.24081276   0.97057158   0.80969626   0.58684921   0.70043117
      95  -0.78780735   0.61592174   0.80361873   0.59514451   1.84059179
      96  -0.88379288  -0.46787837   0.75491428   0.65582347   2.91320825
      97   0.06648733  -0.99778730   0.65350169   0.75692505  -2.36285496
      98   0.93805742  -0.34647980   0.63316238   0.77401900  -1.23898017
      99   0.69912148   0.71500289   0.70164567   0.71252602   0.00353647
     100  -0.36745954   0.93003953   0.72068632   0.69326133   1.18106771
     101  -0.99902880   0.04406199   0.69142491   0.72244835   2.29017973
     102  -0.44791192  -0.89407772   0.60963416   0.79268295  -2.95042229
     103   0.63345915  -0.77377611   0.61584210   0.78786957  -1.79212272
     104   0.96491855   0.26254937   0.70959121   0.70461363  -0.51621515
     105   0.15407275   0.98805952   0.75019789   0.66121334   0.69367242
     106  -0.83916992   0.54386932   0.74354821   0.66868234   1.83411622
     107  -0.83897310  -0.54417288   0.68950778   0.72427827   2.90700841
     108   0.15443015  -0.98800373   0.57921064   0.81517792  -2.36878204
     109   0.96501344  -0.26220033   0.55756849   0.83013093  -1.24464405
     110   0.63317925   0.77400523   0.63173294   0.77518612  -0.00186715
     111  -0.44823530   0.89391559   0.65268850   0.75762641   1.17591786
     112  -0.99901277  -0.04442337   0.62102067   0.78379416   2.28527856
     113  -0.36712310  -0.93017238   0.53324080   0.84596348  -2.95508003
     114   0.69938010  -0.71474993   0.54006553   0.84162295  -1.79654777
     115   0.93793201   0.34681910   0.64131302   0.76727933  -0.52041042
     116   0.06612639   0.99781126   0.68592560   0.72767168   0.68970025
     117  -0.88396204   0.46755865   0.67877287   0.73434830   1.83035958
     118  -0.78758448  -0.61620665   0.62000507   0.78459781   2.90346265
     119   0.24116383  -0.97048444   0.50199342   0.86487144  -2.37212563
     120   0.98441380  -0.17586790   0.47924671   0.87768024  -1.24778748
     121   0.56227934   0.82694733   0.55828953   0.82964617  -0.00481688
     122  -0.52550155   0.85079265   0.58091348   0.81396532   1.17315495
     123  -0.99117488  -0.13256091   0.54714316   0.83703905   2.28269601
     124  -0.28345984  -0.95898414   0.45422632   0.89088631  -2.95748901
